category|region|language|mkt|query
korea_policy|Korea|ko|ko-KR|site:motie.go.kr 데이터센터 전력 수요
korea_power|Korea|ko|ko-KR|site:kpx.or.kr 데이터센터 전력 수요
korea_power|Korea|ko|ko-KR|site:kepco.co.kr 데이터센터 전력 공급
korea_investment|Korea|ko|ko-KR|site:kotra.or.kr 미국 데이터센터 투자
korea_investment|Korea|ko|ko-KR|site:kdb.co.kr 인프라 투자 AI 데이터센터
korea_market|Korea|ko|ko-KR|한국 데이터센터 전력 수요 2028
korea_market|Korea|ko|ko-KR|국내 데이터센터 수도권 집중 전력 인허가
korea_market|Korea|ko|ko-KR|AI 데이터센터 국내 수요 GPU 클라우드
japan_policy|Japan|en|ja-JP|site:meti.go.jp data center digital infrastructure interim report
japan_policy|Japan|en|ja-JP|site:meti.go.jp Watt-Bit collaboration data center power
japan_policy|Japan|ja|ja-JP|site:soumu.go.jp データセンター 地方分散 政策
japan_policy|Japan|ja|ja-JP|site:digital.go.jp データセンター AI 基盤
japan_market|Japan|ja|ja-JP|北海道 データセンター 冷却 再生可能エネルギー
japan_market|Japan|ja|ja-JP|日本 北米 海底ケーブル データセンター
japan_market|Japan|ja|ja-JP|生成AI 計算資源 日本 データセンター
japan_customer|Japan|en|ja-JP|NTT AI data center investment
japan_customer|Japan|en|ja-JP|KDDI AI data center investment
japan_customer|Japan|en|ja-JP|SoftBank AI computing infrastructure data center
japan_customer|Japan|en|ja-JP|Sakura Internet GPU cloud data center
taiwan_policy|Taiwan|en|zh-TW|site:ndc.gov.tw AI infrastructure data center Taiwan
taiwan_policy|Taiwan|en|zh-TW|site:moea.gov.tw AI server industry Taiwan
taiwan_policy|Taiwan|zh|zh-TW|site:moda.gov.tw AI 資料中心 台灣
taiwan_market|Taiwan|zh|zh-TW|台灣 AI 資料中心 電力 供應
taiwan_market|Taiwan|zh|zh-TW|台灣 AI 伺服器 產業 北美 投資
taiwan_customer|Taiwan|en|zh-TW|TSMC AI infrastructure data center demand
taiwan_customer|Taiwan|en|zh-TW|Foxconn AI server North America data center
taiwan_customer|Taiwan|en|zh-TW|Quanta AI server data center demand
taiwan_customer|Taiwan|en|zh-TW|Wiwynn hyperscale AI server infrastructure
china_policy|China|zh|zh-CN|site:ndrc.gov.cn 东数西算 数据中心 政策
china_policy|China|zh|zh-CN|site:gov.cn 绿色数据中心 PUE 行动计划
china_policy|China|zh|zh-CN|site:miit.gov.cn 数据中心 绿色低碳 行动计划
china_policy|China|zh|zh-CN|全国一体化算力网络 数据中心 政策
china_policy|China|en|zh-CN|China Eastern Data Western Computing project data center
eu_policy|EU|en|en-GB|site:europa.eu data centres energy efficiency directive PUE WUE
eu_policy|EU|en|en-GB|site:ec.europa.eu data centre reporting scheme energy performance
eu_policy|EU|en|en-GB|site:op.europa.eu data centres sustainability reporting PUE WUE
eu_grid|EU|en|en-GB|site:entsoe.eu data center grid connection demand
eu_policy|EU|de|de-DE|Rechenzentrum Energieeffizienz PUE WUE Strombedarf
eu_policy|EU|fr|fr-FR|centre de données efficacité énergétique consommation électrique
nordic_cooling|Nordic|en|en-GB|Nordic data center natural cooling hydropower report
nordic_cooling|Nordic|en|en-GB|Finland data center seawater cooling Hamina
nordic_cooling|Nordic|en|en-GB|Norway data center hydropower cooling government
nordic_cooling|Nordic|en|en-GB|Sweden data center waste heat recovery policy
cooling|global|en|en-US|cold climate data center PUE natural cooling
cooling|global|en|en-US|data center WUE water usage AI liquid cooling
cooling|global|en|en-US|hyperscale data center liquid cooling PUE WUE
cooling|global|en|en-US|data center economizer cooling cold climate report
customer_korea|Korea|ko|ko-KR|네이버클라우드 GPU 클라우드 AI 데이터센터
customer_korea|Korea|ko|ko-KR|KT 클라우드 AI 데이터센터 GPU
customer_korea|Korea|ko|ko-KR|삼성전자 AI 인프라 미국 데이터센터
customer_korea|Korea|ko|ko-KR|SK텔레콤 AI 데이터센터 투자
customer_korea|Korea|ko|ko-KR|카카오 AI 인프라 데이터센터
finance|global|en|en-US|data center construction cost per MW 2025 hyperscale
finance|global|en|en-US|wholesale data center lease rate kW month
finance|global|en|en-US|powered land data center lease model
finance|global|en|en-US|AI compute offtake agreement data center
finance|global|en|en-US|data center financial pro forma assumptions
risk|global|en|en-US|data center power supply risk grid constraint
risk|global|en|en-US|large load interconnection data center risk
risk|global|en|en-US|submarine cable outage Alaska Cascadia
risk|global|en|en-US|CFIUS data center foreign ownership telecom security
risk|global|en|en-US|US government prohibited telecom equipment data center
