source,relation,target,sentence,file
DOE,related_to,AI," As such, this report uses the higher and lower
IDC forecasts to bound a range of possible GPU shipments that make up the accelerated
server installed base of the energy use model for 2024 to 2028, with the lower bound assuming
that the increased AI activity observed in the second half of 2024 does not continue and GPU
shipments revert to the prior expected growth rate",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU,"

The allocation of shipped servers for training or inferencing is based on the number of GPUs
shipped in each category provided by IDC (2023a)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Servers with 8-GPUs are preferentially
allocated to training, then inferencing, followed by 4 and 2 GPU servers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU,"

AI Non-accelerated Server Shipments
We also consider servers that are configured for AI workloads but do not have GPUs or other
accelerators (only two CPUs)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Therefore, future
scenarios contain the same total installed base of servers, but with a varying number of those


                                            2024 United States Data Center Energy Usage Report 29
servers containing additional GPUs for AI applications",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," By
2028, AI servers make up between 8 and 12 million of the total installed base, which grows to
almost 37 million, depending on the number of GPU shipments from 2024 to 2028, as shown in
Figure 3",1d4753f5603cdfed_e2f6931cbc.txt
AI,drives,power," These TB
shipments are converted to number of drives in order to be paired with power consumption
estimates that are typically reported on a per-drive basis",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," Data Center Space Types Considered in This Study
 Space Type                             Description
 Telco Edge                             Deployment of small closets/rooms to micro data centers
                                        and network infrastructure by communications companies
                                        as points of presence throughout their network
 Commercial Edge                        Network closets, server rooms, and micro-data centers
                          ",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,cooling," In contrast, multitenant data centers, also known as colocation centers,
provide space for companies to host their hardware offsite, offering essential services such as
power, cooling, security, and networking",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," Detailed information on colocation and hyperscale data centers is derived
from commercial compilations that get support and input from data center service providers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," All AI accelerated servers are allocated evenly to the
Hyperscale and Colocation-Large Scale categories",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," These servers are then broken out
separately into an “AI” category to capture the unique cooling system configurations used for AI
servers (a mix of liquid and air cooling)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," The total load calculated for AI servers is then
distributed evenly between Hyperscale and Colocation-Large Scale",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," AI nonaccelerated servers
go 80% into Hyperscale and 20% into Colocation-Large Scale",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"

The market data offers an overview of the distribution of major cooling system categories, while
insights from experts allow for a more detailed breakdown into specific systems, as outlined in
this report",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," This optimization problem aims to align the estimated distribution of cooling systems
with the major cooling system categories identified in market data, while adhering to constraints
established by industry expertise",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,PUE," Power Usage Effectiveness (PUE) is defined as the total electricity demand of
the data center divided by the electricity demand of the IT equipment",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE,"

The PUE and WUE metrics of data centers are influenced by various factors, including cooling
systems, operational practices, and climatic conditions",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Simulation results are then paired with assumptions for the locations of data centers
across the United States, and the cooling systems deployed across different space types, in
order to develop estimates for overall PUE and WUE averages; this modeling framework is
summarized in Figure 4",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,cooling," This model considers the
cooling system at the facility as well as other infrastructure equipment including UPS, power
transformation and distribution, fans, and pumps",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"


Simulation Modeling and Cooling Systems Modeled
Nine cooling systems commonly implemented in the United States were considered, comprising
various combinations of refrigeration units (including direct expansion, air-cooled chiller, and
water-cooled chiller), economizer use (including airside and waterside economizers),
dry/adiabatic cooling, and liquid cooling options, as summarized in Table 4",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Major Cooling Systems Considered in this Study
 Cooling System Type                Notes
 Direct expansion system            Direct expansion systems, typically called computer room air
                                    conditioners (CRACs), are commonly employed in small to
                                    midsize data centers because of their simplicity and cost-
                                    effectiveness",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," However, the water
                                     evaporation process in cooling towers has raised concerns
                                     regarding data center water consumption and availability at
                                     the local level",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
                                     Additionally, an air-cooled or water-cooled chiller system can
                                     serve as the supplementary cooling when the airside
                                     economizer alone cannot meet the cooling demands",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
Waterside economizer (water-         Waterside economizer systems minimize energy consumption
cooled chiller)                      and operational costs by using cool water drawn from natural
                                     resources (such as lakes, rivers, or the sea) or produced by
                                     cooling towers when the outdoor air is cool and dry, thereby
                                     reducing or eliminating reliance on mechanical refrigeration",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
Dry cooler with or without           Dry coolers reject heat to the ambient air and enable “free”
adiabatic assist (air- or water-     cooling during favorable weather conditions, with or without
cooled chiller)                      adiabatic assistance",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," An air- or water-cooled chiller system provides
                                     additional cooling when needed",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
Airside economizer & adiabatic       Like the airside economizer (air- or water-cooled chiller), this
cooling (air- or water-cooled        configuration seeks to minimize or eliminate mechanical
chiller)                             refrigeration by leveraging the adiabatic process, wherein
                                     water evaporates directly into the supply air to provide cooling",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
                                     This approach is highly energy-efficient and cost-effective, and
                                     in certain climate zones, it can entirely replace the need for
                                     supplementary cooling throughout the year",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Additionally,
                                     potential use of an air- or water-cooled chiller system can
                                     provide supplementary cooling when necessary (e",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,", during
                                     heat waves or periods of increased cooling demands when the
                                     airside economizer and adiabatic cooling together cannot
                                     meet the cooling requirements)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
IT liquid cooling: dry cooler with   Dry coolers with or without adiabatic assist, as described
or without adiabatic assist (air-    above, can be used to minimize water consumption and
cooled chiller)                      mechanical refrigeration while maintaining high energy
                                     efficiency (“free,” compressor-less cooling)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," In instances where dry coolers
                                             cannot fully meet the cooling requirements, an air- or water-
                                             cooled chiller system is deployed for supplementary cooling",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Liquid-cooled
                                             IT systems can often be operated at higher water/refrigerant
                                             temperatures than air-cooled IT systems, and waterside
                                             economizers can effectively fulfill data center cooling
                                             requirements for much of the year, especially in regions with
                                             favorable climates",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," When necessary, an air- or water-cooled
                                             chiller system is deployed for supplementary cooling",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," For example, in the scenario of an airside economizer (air- or water-cooled chiller), the air- or water-cooled
chiller system would only be used when the airside economizer alone cannot meet the data center's cooling needs;
(2) systems whose names do not begin with 'liquid cooling' represent air-cooled IT systems",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," In contrast, hyperscale and AI data centers tend to operate
with higher UPS and airflow efficiencies, as well as wider allowable temperature and relative
humidity ranges, leading to a significant portion of free cooling throughout the year",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," Model Assumptions Regarding the Major Determinates of PUE and WUE by Data Center
Space Type/AI
 Space Type                     UPS              ASHRAE Thermal        ASHRAE Liquid
                                Efficiencies     Envelope (ASHRAE      Cooling Class
                                                 2021)                 (ASHRAE 2014)
  • Commercial Edge             77–85%           Recommended           N/A
  • Enterprise Branch
  • SMB
  • Telco Edge
  • Comms SPs                ",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE,"

Using these location specific TMY climate data, we conducted a large-scale simulation to
evaluate annual average PUE and WUE across a broad spectrum of data center space types
and cooling systems (refer to Figure 4",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Specifically, for each data center space type and cooling system type considered, we
randomly sampled 50 operational scenarios from the uncertainty ranges of best and worst
operating characteristics, where each scenario represents real-world data center operational
practices",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"5 depict the uncertainty ranges of annual average PUE and WUE
values for the data center space types and cooling systems examined in this study",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," PUE
values vary according to cooling system types, albeit not as significantly as the variance among
different types of spaces",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," Utilization of economizers, adiabatic cooling, or dry coolers can
contribute to lower PUE values, highlighting the impact of different cooling methodologies on
overall energy efficiency",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,PUE," Therefore,
the actual PUEs (and WUEs) will likely not be as good as estimated, however, since the
uncertainty ranges are primarily drawn from studies regarding data centers in the earlier years
of our historical range of 2014-2023 (Lei et al",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,PUE," 2023; Lei and Masanet 2022, 2020), and
generally data center PUE has improved during that period (Uptime 2024), the median of the
uncertainty values was assumed to be representative for data centers through 2023",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," For future
years, 2024–2028, the PUE and WUE values for the data center space types were varied by a
range of +/- 10% to reflect possible differences in the future type and operation and cooling
systems",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"

Despite these optimizations, the indispensable role of evaporative cooling in dissipating internal
heat from IT devices remains evident, therefore contributing to significant water consumption",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"
To mitigate water consumption, data centers can employ airside economizers, as demonstrated
by facilities utilizing either an airside economizer (water-cooled chiller) or airside economizer
with adiabatic cooling (water-cooled chiller)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," Notably, the application of airside
economizers with adiabatic cooling (water-cooled chiller) is prevalent among hyperscale data
centers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Their optimized operational practices enable extensive use of airside economizers to
support data center cooling, with sporadic adiabatic cooling resulting in minimal water
consumption",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,"

Furthermore, data centers using dry coolers with adiabatic assist exhibit the highest water
consumption among the remaining scenarios, where water consumption primarily occurs during
the adiabatic pre-cooling process when wet mode operations are activated",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," For example, water-cooled chillers
and other evaporation-based cooling systems are generally more energy efficient than an air-
cooled chiller or other waterless systems",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE, Simulated PUE and WUE (site) ranges by data center cooling system and space type,1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," For example, while colocation facilities as a whole
are not assumed to typically deploy the lowest-PUE cooling systems (i",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling,", those with adiabatic
cooling), such systems on certainty in some colocation facilities",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,PUE,"

As discussed above, significant uncertainty exists regarding the “true” PUE of existing data
centers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Notably, more data is needed to appropriately
model the “airside economizer & adiabatic cooling (air-cooled chiller)” system, and the water


                                           2024 United States Data Center Energy Usage Report 46
usage associated with it",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," The current simulations are set up such that the adiabatic cooling
system is not used most of the year, with most of the cooling being supplied by the airside
economizer",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," Aggregate PUE and WUE across space type categories considering the facility
locations and mix of cooling systems present in 2023",1d4753f5603cdfed_e2f6931cbc.txt
hyperscale,related_to,PUE,"
This decline is primarily due to the shift towards larger data centers (hyperscale, colocation)
that have a lower PUE",1d4753f5603cdfed_e2f6931cbc.txt
hyperscale,related_to,PUE," By 2023, the average PUE across hyperscale and colocation data
centers is under 1",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale,"35, driven again by the
shift into more energy efficient hyperscale and colocation facilities, combined with the increase
in liquid-cooled AI servers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," A large portion of this increase came from GPU-accelerated AI servers, which grew
in energy usage from less than 2 TWh in 2017 to more than 40 TWh in 2023",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Specifically, the count of future GPU
shipments varies within the higher and lower bounds previously described in the AI Accelerated
Server Shipments section",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," Second, the average operational power of AI servers varies
between 60% and 80% of the rated power as noted in the Server Operational Wattage section",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," Hyperscale and colocation data centers continue to grow in proportion, and by 2028 it
is expected that hyperscale and colocation will account for over 90% of server energy
consumption, primarily driven by AI workloads",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," By 2028, training server energy
consumption surpasses inferencing, as more of the higher TDP GPUs are allocated towards
training, consuming between 50% and 53% of the total AI server energy",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,power," The equipment variations are based on the range of GPU shipments, average operational
power and operational time of GPU-accelerated servers, as previously outlined for the future
range of server electricity use",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,hyperscale," The falling PUE is driven by two main factors, PUE improvements across all data
center types and the increase in proportion of servers installed in facilities with lower PUE
(hyperscale, colocation), as shown in Figure 5",1d4753f5603cdfed_e2f6931cbc.txt
hyperscale,related_to,PUE," Further, the
current study has a lower aggregate PUE across the industry as compared to the 2016 study;
this is both because we now assume fewer servers had shifted to hyperscale data centers, as
mentioned above, and because our current PUE modeling assumes systems are operated as
designed, leading to more efficient values",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," We used detailed electricity interchange data between balancing
authorities from the EIA hourly electric grid monitor (EIA 930 2024) and combined it with power
plant-level electricity generation (EIA 923 2024), water consumption (EIA 2024), and GHG data
(EPA 2024) to estimate the environmental impact associated with a unit of supplied electricity
for each balancing authority",1d4753f5603cdfed_e2f6931cbc.txt
DOE,related_to,power,"

It is important to note that the methodology used here to calculate indirect water and emission
impacts does not incorporate any power purchase agreements between individual data center
facilities and their electricity providers or on-site “behind the meter” generation, which could

                                             2024 United States Data Center Energy Usage Report 57
significantly affect water consumption and emissions estimates, depending on the electricity
source",1d4753f5603cdfed_e2f6931cbc.txt
DOE,related_to,power," Additionally, a five-
forms the foundation of our bottom-up analyses            year maximum economic lifetime is introduced
for traditional data centers—does not capture             for hardware to avoid overstating power demand
the specialized ASICs used in mining                      by including nominally profitable but likely
operations",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"98%) for months             calculate the network power demand and
where the CBECI estimate is unavailable before          electricity consumption, assuming a PUE of 1",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," To account for the          facilities across 21 states, with detailed power
total network energy consumption, upper and             capacity data available for 101 of these sites",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,PUE," By
lower bound estimates are calculated based on           assuming an 80% utilization rate for their
assumed power usage effectiveness (PUE)                 documented 10,275 MW of mining capacity, the
ratios of mining facilities",1d4753f5603cdfed_e2f6931cbc.txt
hyperscale,related_to,power," The efficiency strategies that
allowed the industry to avoid increased energy needs during this period included improved
cooling and power delivery efficiency, increased server utilization rates, increased
computational efficiencies, and reduced server idle power, much of which were enabled by a
shift toward larger, cloud-based, hyperscale data centers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," data center energy and water use and identifying opportunities for data
center optimization require ongoing data collection and reporting on facility size, energy and
water consumption, power source, cooling system types, backup power system information,
and installed IT equipment characteristics, along with other available characteristics",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," data centers are
increasingly engaging in onsite electricity generation, power purchase agreements, and trade in
various carbon credits, the lack of transparency around the details of these activities for all U",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," The power demands for AI and cloud services are tied to the
cost and perceived value of those services, but this relationship is not well understood",1d4753f5603cdfed_e2f6931cbc.txt
